qid,lamp_num,generator_name,ranker,rerank_method,pl_alpha,pl_randmmr_lambda_low,pl_randmmr_lambda_high,expected_utility,max_utility,min_utility,avg_ild_jaccard,ee_disparity,ee_relevance,ee_difference,n_lists
3162,4,flanT5Small,bm25,pl,8,,,0.18181817698347122,0.18181817698347122,0.18181817698347122,0.9120562967650102,1.0,0.8,0.857143,10
3164,4,flanT5Small,bm25,pl,8,,,0.05843722335406428,0.059701490211628516,0.04705882163598624,0.9169587664344471,0.964,0.8,0.405429,10
3165,4,flanT5Small,bm25,pl,8,,,0.2666666618666667,0.2666666618666667,0.2666666618666667,0.9587741097534599,0.868,0.8,0.343714,10
3167,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.914676873310475,1.0,0.0,0.949153,10
3169,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.898960770852726,1.0,0.0,0.994975,10
3170,4,flanT5Small,bm25,pl,8,,,0.004347825893194717,0.043478258931947164,0.0,0.9252221978442611,0.916,0.14,0.826909,10
3171,4,flanT5Small,bm25,pl,8,,,0.02325581245808555,0.023255812458085546,0.023255812458085546,0.9378980897671012,0.916,0.8,0.600167,10
3172,4,flanT5Small,bm25,pl,8,,,0.009090908694214892,0.09090908694214893,0.0,0.8758821353635593,0.964,0.22,0.907889,10
3173,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8578269746825139,1.0,0.0,0.993789,10
3174,4,flanT5Small,bm25,pl,8,,,0.05063290957218401,0.05063290957218401,0.05063290957218401,0.9094421778257985,1.0,1.0,0.882353,10
3175,4,flanT5Small,bm25,pl,8,,,0.029411764134948108,0.029411764134948108,0.029411764134948108,0.928466706806973,1.0,0.2,0.866667,10
3176,4,flanT5Small,bm25,pl,8,,,0.002777777697916669,0.02777777697916669,0.0,0.8972277391731198,1.0,0.4,0.809524,10
3177,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8927149051956498,1.0,0.2,0.935484,10
3178,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.903947289292965,1.0,0.0,1.0,10
3179,4,flanT5Small,bm25,pl,8,,,0.04523809314058967,0.047619045521542044,0.023809521712018326,0.9299363552052904,1.0,0.4,0.870968,10
3180,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8414695125632979,1.0,0.2,0.8,10
3181,4,flanT5Small,bm25,pl,8,,,0.022471907779321038,0.022471907779321038,0.022471907779321038,0.9222977704619708,1.0,0.2,0.948718,10
3182,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8800347479606133,1.0,0.0,1.0,10
3183,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8734363331070121,0.916,0.0,0.925312,10
3184,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9149215153601963,0.964,0.0,0.970429,10
3185,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9151473143587833,0.9,0.0,0.943118,10
3186,4,flanT5Small,bm25,pl,8,,,0.03571428408801027,0.03571428408801028,0.03571428408801028,0.8791235177144738,0.964,0.38,0.871179,10
3187,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8917763682328465,1.0,0.2,0.948718,10
3188,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9303813545484083,0.964,0.6,0.516308,10
3189,4,flanT5Small,bm25,pl,8,,,0.01999999936125002,0.04999999840312505,0.0,0.8832309283137676,0.88,0.78,0.28,10
3190,4,flanT5Small,bm25,pl,8,,,0.026315788244459893,0.02631578824445989,0.02631578824445989,0.9082534774234426,1.0,1.0,0.565217,10
3195,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9023789129142145,1.0,0.6,0.4,10
3198,4,flanT5Small,bm25,pl,8,,,0.048192769539846185,0.048192769539846185,0.048192769539846185,0.9137495752732825,1.0,0.0,0.990826,10
31100,4,flanT5Small,bm25,pl,8,,,0.058823528304498295,0.05882352830449829,0.05882352830449829,0.9509104540139687,1.0,0.2,0.857143,10
31102,4,flanT5Small,bm25,pl,8,,,0.03846153704142018,0.03846153704142017,0.03846153704142017,0.9499653940532321,1.0,0.0,0.929687,10
31103,4,flanT5Small,bm25,pl,8,,,0.07692307459319533,0.07692307459319533,0.07692307459319533,0.9575088160745764,1.0,1.0,0.583333,10
31104,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9212250487557109,1.0,0.4,0.714286,10
31105,4,flanT5Small,bm25,pl,8,,,0.0526315772749308,0.05263157727493079,0.05263157727493079,0.9219100384639407,0.9,0.7,0.435714,10
31106,4,flanT5Small,bm25,pl,8,,,0.024390242546103585,0.024390242546103585,0.024390242546103585,0.9227072871733112,1.0,0.384615,0.657895,10
31108,4,flanT5Small,bm25,pl,8,,,0.08505262895349766,0.10526315477993237,0.07999999749688896,0.9180237039512292,1.0,1.0,0.333333,10
31109,4,flanT5Small,bm25,pl,8,,,0.12499999658203136,0.12499999658203134,0.12499999658203134,0.896802710372594,1.0,0.0,0.949153,10
31110,4,flanT5Small,bm25,pl,8,,,0.06249999805175788,0.06249999805175788,0.06249999805175788,0.9068214672609033,1.0,0.4,0.809524,10
31112,4,flanT5Small,bm25,pl,8,,,0.025974024321133514,0.025974024321133514,0.025974024321133514,0.9265209102280039,1.0,0.4,0.6,10
31113,4,flanT5Small,bm25,pl,8,,,0.02469135644566387,0.024691356445663875,0.024691356445663875,0.920983099357229,1.0,0.6,0.6,10
31114,4,flanT5Small,bm25,pl,8,,,0.14634146074657944,0.14634146074657944,0.14634146074657944,0.8801612510412433,1.0,0.6,0.571429,10
31115,4,flanT5Small,bm25,pl,8,,,0.11764705573096894,0.11764705573096892,0.11764705573096892,0.9475780176725035,1.0,0.6,0.6,10
31116,4,flanT5Small,bm25,pl,8,,,0.19321719454375455,0.210526312465374,0.1666666632098766,0.9095143774379032,0.892,0.74,0.46325,10
31117,4,flanT5Small,bm25,pl,8,,,0.04878048644854256,0.04878048644854257,0.04878048644854257,0.9282007924793536,0.916,0.46,0.594462,10
31118,4,flanT5Small,bm25,pl,8,,,0.10256410072320843,0.10256410072320843,0.10256410072320843,0.8325673995893241,0.964,0.491228,0.531339,10
31120,4,flanT5Small,bm25,pl,8,,,0.15999999507200013,0.15999999507200013,0.15999999507200013,0.8987547263910608,1.0,0.491228,0.551181,10
31121,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9660337772078507,0.884,0.456,0.504,10
31122,4,flanT5Small,bm25,pl,8,,,0.024390243590124927,0.12195121795062464,0.0,0.9453411657953662,0.848,0.384,0.472615,10
31125,4,flanT5Small,bm25,pl,8,,,0.04270671591514831,0.11764705711833912,0.0,0.882182550260891,0.884,0.88,0.199,10
31126,4,flanT5Small,bm25,pl,8,,,0.15789473351800565,0.15789473351800565,0.15789473351800565,0.8444592838184152,1.0,1.0,0.285714,10
