lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1 (least diverse)_lo,Q1 (least diverse)_hi,Q1 (least diverse)_delta,Q1 (least diverse)_n,Q1 (least diverse)_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4 (most diverse)_lo,Q4 (most diverse)_hi,Q4 (most diverse)_delta,Q4 (most diverse)_n,Q4 (most diverse)_sig,bin 1/3_lo,bin 1/3_hi,bin 1/3_delta,bin 1/3_n,bin 1/3_sig,bin 2/3_lo,bin 2/3_hi,bin 2/3_delta,bin 2/3_n,bin 2/3_sig,bin 3/3_lo,bin 3/3_hi,bin 3/3_delta,bin 3/3_n,bin 3/3_sig
2,flanT5Small,bm25,mmr,0.3333333333333333,192,0.9358842726954266,0.9723608802328563,-0.17676767676767674,198.0,**,0.9723608802328563,0.9806954644342043,0.03645833333333337,192.0,,0.9806954644342043,0.9908743962797781,0.03972366148531953,193.0,,0.9908743962797781,1.0,0.07081174438687393,193.0,,,,,,,,,,,,,,,,
2,flanT5Small,contriever,pl,0.375,192,0.9466562231015121,0.9846904044779905,0.015625,192.0,,0.9846904044779905,0.9920412242672526,-0.04062499999999997,192.0,,0.9920412242672526,0.997395934712341,-0.015625,192.0,,0.997395934712341,1.0,0.03229166666666666,192.0,,,,,,,,,,,,,,,,
2,flanT5Small,contriever,mmr,0.375,192,,,,,,,,,,,,,,,,,,,,,0.9466562231015122,0.9847832448491463,-0.051923076923076905,195.0,,0.9847832448491463,0.9955096199663261,0.004487179487179471,195.0,,0.9955096199663261,1.0,0.011010362694300502,386.0,
3,flanT5Base,bm25,pl,0.9226190476190477,378,0.0,0.9422197361228866,0.004629629629629539,378.0,,0.9422197361228866,0.9682924718864718,0.003395061728394877,378.0,,0.9682924718864718,0.9833789656191314,-0.0030643738977071955,378.0,,0.9833789656191314,1.0,0.0009259259259258856,378.0,,,,,,,,,,,,,,,,
3,flanT5Base,bm25,mmr,0.9226190476190477,378,0.0,0.9464932631205525,-0.0031394414305806473,474.0,,0.9464932631205525,0.965820924191297,0.019879183095743436,471.0,*,0.965820924191297,0.9805761732555863,-0.01195520581113807,472.0,,0.9805761732555863,1.0,-0.00489529849994963,473.0,,,,,,,,,,,,,,,,
3,flanT5Base,contriever,pl,0.9268077601410936,378,0.0,0.9472976012463827,-0.0037918871252204944,378.0,,0.9472976012463827,0.9725126922350305,0.002799823633156784,378.0,,0.9725126922350305,0.9872929094751459,-0.0023148148148147696,378.0,,0.9872929094751459,1.0,0.0010361552028217424,378.0,,,,,,,,,,,,,,,,
3,flanT5Base,contriever,mmr,0.9268077601410936,378,0.0,0.9555895401029194,0.009022057017837426,474.0,,0.9555895401029194,0.9731649571201728,0.0037771588159183356,473.0,,0.9731649571201728,0.9890281009667763,0.00027557319223969756,472.0,,0.9890281009667763,1.0,0.0031285455913905302,471.0,,,,,,,,,,,,,,,,
3,flanT5Small,bm25,pl,0.9080921757770632,311,0.0,0.9511915274753271,-0.006162915326902496,311.0,,0.9511915274753271,0.97607217656279,-0.009941050375134042,311.0,,0.97607217656279,0.9888238634056957,-0.019426580921757752,311.0,,0.9888238634056957,1.0,-0.02290996784565935,311.0,*,,,,,,,,,,,,,,,
3,flanT5Small,bm25,mmr,0.9080921757770632,311,0.0,0.9497320651840953,-0.015109719636712371,285.0,,0.9497320651840953,0.9681101929317448,-0.016366823664387242,284.0,,0.9681101929317448,0.9816563924539619,-0.006846624175639748,281.0,,0.9816563924539619,1.0,-0.008209961407216304,283.0,,,,,,,,,,,,,,,,
3,flanT5Small,contriever,pl,0.8968381564844587,311,0.0,0.9583388370959847,0.009565916398713736,311.0,,0.9583388370959847,0.97975449095002,-0.0037245444801715655,311.0,,0.97975449095002,0.9914879411656558,-0.011977491961414843,311.0,,0.9914879411656558,1.0,-0.00431404072883157,311.0,,,,,,,,,,,,,,,,
