lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1_lo,Q1_hi,Q1_delta,Q1_n,Q1_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4_lo,Q4_hi,Q4_delta,Q4_n,Q4_sig
5,flanT5Base,bm25,mmr,0.5311688244650712,759,0.199999999,0.4,0.014975151639612938,980,,0.4,0.6,0.005652311656469178,1455,,0.6,0.8,0.028599825698623627,741,,0.8,1.000000001,0.0047059204861614745,619,
5,flanT5Base,contriever,pl,0.550489137884847,759,0.249999999,0.375,-0.00602824577000316,764,,0.375,0.625,-0.00287591284396993,754,,0.625,0.875,-0.020258222493093725,761,,0.875,1.000000001,-0.026719683759130364,757,
5,flanT5Base,contriever,mmr,0.550489137884847,759,0.199999999,0.5,-0.007256930699283681,1629,,0.5,0.6,0.020700153220839734,886,,0.6,0.8,0.030111034077099808,658,,0.8,1.000000001,-0.037690179631792886,622,
6,flanT5Small,bm25,pl,0.44198415350942005,760,0.249999999,0.375,-0.012681636469629276,767,,0.375,0.625,0.005670672435660384,765,,0.625,0.75,-0.0638093430367308,753,**,0.75,1.000000001,-0.06686627791921534,755,**
6,flanT5Small,bm25,mmr,0.44198415350942005,760,0.199999999,0.5,0.004298720886759422,823,,0.5,0.6666666666666666,-0.003129364781945476,799,,0.6666666666666666,0.8333333333333334,-0.03681865108183002,401,,0.8333333333333334,1.000000001,-0.0216154908727903,457,
6,flanT5Small,contriever,pl,0.4236239482375545,760,0.249999999,0.375,-0.0024406588843848276,762,,0.375,0.625,-0.0029655848392168838,770,,0.625,0.75,-0.0442272305035476,754,*,0.75,1.000000001,-0.04604021807938824,754,**
6,flanT5Small,contriever,mmr,0.4236239482375545,760,0.199999999,0.4,-0.02106277661256617,633,,0.4,0.6666666666666666,0.04591656819372081,933,*,0.6666666666666666,0.8333333333333334,-0.030024705394709417,465,,0.8333333333333334,1.000000001,0.016371104404019454,449,
6,flanT5Base,bm25,pl,0.4730873676410713,783,0.249999999,0.375,-0.02018851908456515,788,,0.375,0.625,-0.015923945973665532,790,,0.625,0.75,-0.061385513137397096,775,**,0.75,1.000000001,-0.0710690356408406,779,**
6,flanT5Base,bm25,mmr,0.4730873676410713,783,0.199999999,0.4,-0.006920872863077299,1255,,0.4,0.6,0.01170265908282081,1190,,0.6,0.8,-0.02427612711793231,737,,0.8,1.000000001,-0.015990365632728487,733,
6,flanT5Base,contriever,pl,0.44404708206980276,783,0.249999999,0.375,-0.006614894241150193,784,,0.375,0.625,-0.0017433668505074107,794,,0.625,0.75,-0.03621086580430888,777,*,0.75,1.000000001,-0.05191746087177129,777,**
6,flanT5Base,contriever,mmr,0.44404708206980276,783,0.199999999,0.4,0.0018947241031370687,1230,,0.4,0.6,-0.006891446438140214,1144,,0.6,0.8,-0.0033680993044279406,814,,0.8,1.000000001,-0.026767807934315713,727,
7,flanT5Small,bm25,pl,0.5353459166422336,365,0.249999999,0.375,0.011039653063464216,379,,0.375,0.625,0.005153166920192298,370,,0.625,0.875,-0.0020390046224105784,365,,0.875,1.000000001,-0.01375233189559022,346,
7,flanT5Small,bm25,mmr,0.5353459166422336,365,,,,0,,,,,0,,,,,0,,,,,0,
7,flanT5Small,contriever,pl,0.5301350060660748,365,0.249999999,0.375,0.004003825369484626,379,,0.375,0.5,0.0008308080864504186,352,,0.5,0.875,-0.004633545415094864,371,,0.875,1.000000001,-0.009230374526199014,358,
7,flanT5Small,contriever,mmr,0.5301350060660748,365,,,,0,,,,,0,,,,,0,,,,,0,
7,flanT5Base,bm25,pl,0.6749667309671006,211,0.249999999,0.375,-0.00632514652337024,220,,0.375,0.625,-0.019940432823741028,213,,0.625,0.75,-0.010836565102128604,202,,0.75,1.000000001,-0.01371706555897323,209,
7,flanT5Base,bm25,mmr,0.6749667309671006,211,,,,0,,,,,0,,,,,0,,,,,0,
7,flanT5Base,contriever,pl,0.6454125289455971,211,0.249999999,0.375,0.007527154780372247,217,,0.375,0.5625,0.0055324407412665755,205,,0.5625,0.875,-0.0014000539700208536,212,,0.875,1.000000001,0.0051726957759210546,210,
7,flanT5Base,contriever,mmr,0.6454125289455971,211,0.199999999,0.5,-0.004725269799104148,350,,0.5,0.6,0.00037594485184233584,416,,0.6,0.7,-0.0027246012726223068,88,,0.7,1.000000001,-0.01230635087416343,201,
