lamp_num,generator,ranker,chosen_pl_alpha,pl_ee_d_n10,pl_ee_d_n100,randmmr_ee_d_n10,randmmr_ee_d_n100,delta_ee_d_n10,delta_ee_d_n100,randmmr_better_eed_n10,randmmr_better_eed_n100,pl_eu_norm,randmmr_eu_norm,delta_eu_norm,p_value,sig,randmmr_better_eu,n_queries_full_set
3,flanT5Small,bm25,2,0.1430799999999999,0.0624270096463022,0.1442829581993569,0.0545628295819935,0.001202958199357007,-0.007864180064308696,False,True,0.8699166666666668,0.8854769560557342,0.0155602893890673,0.2200989081672391,,True,311
3,flanT5Small,contriever,2,0.1484501607717041,0.0621452090032154,0.1445273311897106,0.0541133118971061,-0.003922829581993498,-0.008031897106109298,True,True,0.8926045016077171,0.8925509110396571,-5.359056805998019e-05,0.9954987657931323,,False,311
4,flanT5Base,bm25,2,0.2542345828295042,0.182719661426844,0.2510133010882709,0.1742655864570737,-0.0032212817412332617,-0.008454074969770298,True,True,0.2480621474253541,0.2506281927165492,0.0025660452911951,0.739435273773924,,True,827
4,flanT5Base,contriever,2,0.2447110036275695,0.1725754776299879,0.2378960096735188,0.1625027327690447,-0.006814993954050719,-0.0100727448609432,True,True,0.2524711197141185,0.2528632895397952,0.0003921698256766,0.9589607795258496,,True,827
4,flanT5Small,bm25,2,0.259,0.1772353421368547,0.246343337334934,0.1685506842737094,-0.012656662665066015,-0.008684657863145318,True,True,0.2224998202041073,0.2720469868468748,0.0495471666427675,0.001902435585033,**,True,833
4,flanT5Small,contriever,2,0.2385114045618247,0.1668792797118847,0.2334261704681872,0.156698775510204,-0.0050852340936375084,-0.010180504201680707,True,True,0.2640745129332975,0.2575645910346415,-0.006509921898656,0.4124839075899987,,False,833
5,flanT5Base,bm25,2,0.1810434782608695,0.1025068247694334,0.1733438735177865,0.0887077206851119,-0.007699604743083011,-0.0137991040843215,True,True,0.5271909341250071,0.5287544882918366,0.0015635541668295,0.9174072943298712,,True,759
5,flanT5Base,contriever,2,0.1838524374176548,0.1059671673254282,0.1777285902503294,0.0918928590250329,-0.006123847167325419,-0.0140743083003953,True,True,0.5251934902389673,0.5270144192115718,0.0018209289726044,0.9045534169055268,,True,759
5,flanT5Small,bm25,2,0.1803874092009685,0.1031575786924939,0.1739467312348668,0.0891399031476997,-0.006440677966101677,-0.01401767554479419,True,True,0.4191298767483979,0.4116708485789115,-0.0074590281694864,0.5585658369913314,,False,826
5,flanT5Small,contriever,2,0.1836464891041162,0.1068571912832929,0.1790799031476997,0.0926813559322033,-0.0045665859564165134,-0.0141758353510896,True,True,0.4124452911365534,0.4068547730534095,-0.0055905180831438,0.6540512077003784,,False,826
6,flanT5Base,bm25,2,0.2394738186462324,0.1637868710089399,0.2310140485312899,0.1486090932311622,-0.008459770114942505,-0.015177777777777707,True,True,0.4105242817586211,0.4117710432717317,0.0012467615131106,0.9329652279064806,,True,783
6,flanT5Base,contriever,2,0.2361379310344827,0.1579877394636015,0.2260178799489144,0.1442250830140485,-0.010120051085568293,-0.013762656449553018,True,True,0.4040233144128246,0.4031029606262311,-0.0009203537865935,0.9496759361134166,,False,783
6,flanT5Small,bm25,2,0.2374631578947368,0.1630130526315789,0.2303105263157894,0.1475757368421052,-0.007152631578947383,-0.015437315789473688,True,True,0.3873118537665985,0.3860824865707011,-0.0012293671958973,0.9331067588618244,,False,760
6,flanT5Small,contriever,2,0.2351473684210526,0.1571684736842105,0.2261,0.1435235789473684,-0.00904736842105261,-0.013644894736842106,True,True,0.3836598036303705,0.3812458010109042,-0.0024140026194663,0.869707642662563,,False,760
7,flanT5Base,bm25,2,0.5047014218009479,0.4650125118483412,0.4988815165876777,0.4682261611374407,-0.005819905213270193,0.003213649289099507,True,False,0.6613416863251114,0.654445594432652,-0.0068960918924593,0.7678223963067073,,False,211
7,flanT5Base,contriever,2,0.4876398104265402,0.4372798104265403,0.4634312796208532,0.42344,-0.024208530805687023,-0.013839810426540311,True,True,0.6456792279042789,0.6496579901701841,0.0039787622659052,0.8616696924481685,,True,211
7,flanT5Small,bm25,2,0.5351342465753425,0.5007239452054794,0.5304328767123287,0.5018135890410959,-0.004701369863013727,0.001089643835616494,True,False,0.5318851678768677,0.5408236935966055,0.0089385257197378,0.5811214021635599,,True,365
7,flanT5Small,contriever,2,0.5227945205479452,0.478833095890411,0.4996821917808219,0.4655844383561644,-0.02311232876712327,-0.013248657534246588,True,True,0.5248064452817413,0.5261683563562515,0.0013619110745102,0.9320926061944564,,True,365
