lamp_num,granularity,cutoff,approach,baseline_eu_norm,n_baseline,generator_name,ranker,cutoff_ild_norm,selected_setting,self_membership_frac,n,delta_eu_norm,p_value,sig
3,gen_x_ranker,bottom25,approach_a,0.8882636655948553,311,flanT5Small,bm25,0.9389776409663018,mmr_l0.7,0.59,100,6.966773847816299e-05,0.9965691730308288,
3,gen_x_ranker,bottom25,approach_b,0.8882636655948553,311,flanT5Small,bm25,0.9389776409663018,,,620,0.0004863344051448948,0.9627143294694851,
3,gen_x_ranker,bottom50,approach_a,0.8882636655948553,311,flanT5Small,bm25,0.9644552461083218,mmr_l0.7,0.81,100,6.966773847816299e-05,0.9965691730308288,
3,gen_x_ranker,bottom50,approach_b,0.8882636655948553,311,flanT5Small,bm25,0.9644552461083218,,,1239,-0.010297563899939854,0.28233518399630086,
3,gen_x_ranker,bottom25,approach_a,0.8743301178992497,311,flanT5Small,contriever,0.9486369180718556,mmr_l0.7,0.47,100,-0.0001634512325832116,0.9930826985011758,
3,gen_x_ranker,bottom25,approach_b,0.8743301178992497,311,flanT5Small,contriever,0.9486369180718556,,,620,0.025132247692148058,0.014834319786928151,*
3,gen_x_ranker,bottom50,approach_a,0.8743301178992497,311,flanT5Small,contriever,0.9712912836713419,mmr_l0.7,0.84,100,-0.0001634512325832116,0.9930826985011758,
3,gen_x_ranker,bottom50,approach_b,0.8743301178992497,311,flanT5Small,contriever,0.9712912836713419,,,1239,0.005620110779792409,0.5714170845359342,
3,generator_pooled,bottom25,approach_a,0.896384479717813,756,flanT5Base,,0.9289942494361313,pl_a8,0.5158730158730159,756,0.0004960317460317443,0.9470646121403874,
3,generator_pooled,bottom25,approach_b,0.896384479717813,756,flanT5Base,,0.9289942494361313,,,1890,0.014294532627866063,0.02235968945072006,*
3,generator_pooled,bottom50,approach_a,0.896384479717813,756,flanT5Base,,0.9541055043044344,pl_a8,0.753968253968254,756,0.0004960317460317443,0.9470646121403874,
3,generator_pooled,bottom50,approach_b,0.896384479717813,756,flanT5Base,,0.9541055043044344,,,3780,0.002718253968254092,0.6397157763100374,
3,generator_pooled,bottom25,approach_a,0.8812968917470525,622,flanT5Small,,0.9429785630077355,mmr_l0.7,0.53,200,-4.68917470525243e-05,0.9969845737869313,
3,generator_pooled,bottom25,approach_b,0.8812968917470525,622,flanT5Small,,0.9429785630077355,,,1239,0.011069263754696412,0.13179034646730606,
3,generator_pooled,bottom50,approach_a,0.8812968917470525,622,flanT5Small,,0.9680720194430874,mmr_l0.7,0.82,200,-4.68917470525243e-05,0.9969845737869313,
