lamp_num,generator_name,ranker,setting,mean,count
6,flanT5Base,bm25,mmr_l0.7,0.469700933694696,783
6,flanT5Base,bm25,mmr_l0.85,0.46946665207736316,783
6,flanT5Base,bm25,pl_a1,0.3954503228807658,783
6,flanT5Base,bm25,pl_a2,0.4105242817586211,783
6,flanT5Base,bm25,pl_a4,0.4515896010548404,783
6,flanT5Base,bm25,pl_a8,0.4669372165896865,783
6,flanT5Base,contriever,det,0.44404708206980276,783
6,flanT5Base,contriever,mmr_l0.15,0.42914224966126724,783
6,flanT5Base,contriever,mmr_l0.3,0.42396398126007795,783
6,flanT5Base,contriever,mmr_l0.45,0.4374978067326699,783
6,flanT5Base,contriever,mmr_l0.55,0.4483710637695137,783
6,flanT5Base,contriever,mmr_l0.7,0.43371516974532104,783
6,flanT5Base,contriever,mmr_l0.85,0.4412402199009131,783
6,flanT5Base,contriever,pl_a1,0.39382732746895405,783
6,flanT5Base,contriever,pl_a2,0.40402331441282463,783
6,flanT5Base,contriever,pl_a4,0.4387045386118863,783
6,flanT5Base,contriever,pl_a8,0.44378893298135846,783
6,flanT5Small,bm25,det,0.4419841535094201,760
6,flanT5Small,bm25,mmr_l0.15,0.4449344511874687,100
6,flanT5Small,bm25,mmr_l0.3,0.4095293776194044,100
6,flanT5Small,bm25,mmr_l0.45,0.420140527897288,760
6,flanT5Small,bm25,mmr_l0.55,0.4325382507303942,760
6,flanT5Small,bm25,mmr_l0.7,0.4618076774397657,100
6,flanT5Small,bm25,mmr_l0.85,0.44387638139046826,760
6,flanT5Small,bm25,pl_a1,0.3693537340599019,760
6,flanT5Small,bm25,pl_a2,0.38731185376659844,760
6,flanT5Small,bm25,pl_a4,0.434781378769622,760
6,flanT5Small,bm25,pl_a8,0.4397511923170954,760
6,flanT5Small,contriever,det,0.4236239482375545,760
6,flanT5Small,contriever,mmr_l0.15,0.334848331690841,100
6,flanT5Small,contriever,mmr_l0.3,0.3667661909090463,100
6,flanT5Small,contriever,mmr_l0.45,0.44114191571123634,760
6,flanT5Small,contriever,mmr_l0.55,0.4416662237396999,760
6,flanT5Small,contriever,mmr_l0.7,0.37712550829882446,100
6,flanT5Small,contriever,mmr_l0.85,0.43179025542564287,760
6,flanT5Small,contriever,pl_a1,0.37110812859295583,760
6,flanT5Small,contriever,pl_a2,0.38365980363037067,760
6,flanT5Small,contriever,pl_a4,0.42062903180096767,760
6,flanT5Small,contriever,pl_a8,0.42409233073167146,760
7,flanT5Base,bm25,det,0.6749667309671005,211
7,flanT5Base,bm25,mmr_l0.15,0.6257691132096258,211
7,flanT5Base,bm25,mmr_l0.3,0.6406215516305254,211
7,flanT5Base,bm25,mmr_l0.45,0.6502992148864598,211
7,flanT5Base,bm25,mmr_l0.55,0.6644021365594192,211
7,flanT5Base,bm25,mmr_l0.7,0.6745496487732157,211
7,flanT5Base,bm25,mmr_l0.85,0.6645149069245557,211
7,flanT5Base,bm25,pl_a1,0.6579861820530278,211
7,flanT5Base,bm25,pl_a2,0.6613416863251113,211
7,flanT5Base,bm25,pl_a4,0.6610156924650697,211
7,flanT5Base,bm25,pl_a8,0.6688375939301522,211
7,flanT5Base,contriever,det,0.6454125289455971,211
7,flanT5Base,contriever,mmr_l0.15,0.6428876662236742,211
7,flanT5Base,contriever,mmr_l0.3,0.6496205567130805,211
7,flanT5Base,contriever,mmr_l0.45,0.6393198682586702,211
7,flanT5Base,contriever,mmr_l0.55,0.6366975864799644,211
7,flanT5Base,contriever,mmr_l0.7,0.6378968686874337,211
7,flanT5Base,contriever,mmr_l0.85,0.6435714005650565,211
7,flanT5Base,contriever,pl_a1,0.6537811303266562,211
7,flanT5Base,contriever,pl_a2,0.645679227904279,211
7,flanT5Base,contriever,pl_a4,0.6527944150176775,211
7,flanT5Base,contriever,pl_a8,0.6462531511148156,211
7,flanT5Small,bm25,det,0.5353459166422336,365
7,flanT5Small,bm25,mmr_l0.15,0.4936429138128717,100
7,flanT5Small,bm25,mmr_l0.3,0.5143683880930903,100
7,flanT5Small,bm25,mmr_l0.45,0.5095431568887293,365
7,flanT5Small,bm25,mmr_l0.55,0.5161078866298243,365
7,flanT5Small,bm25,mmr_l0.7,0.5258180922157681,100
7,flanT5Small,bm25,mmr_l0.85,0.5253133093946606,365
7,flanT5Small,bm25,pl_a1,0.5314903276594751,365
7,flanT5Small,bm25,pl_a2,0.5318851678768678,365
7,flanT5Small,bm25,pl_a4,0.5409744438943227,365
7,flanT5Small,bm25,pl_a8,0.5386451154902416,365
7,flanT5Small,contriever,det,0.5301350060660747,365
7,flanT5Small,contriever,mmr_l0.15,0.48222120600583124,100
7,flanT5Small,contriever,mmr_l0.3,0.4847090150410217,100
7,flanT5Small,contriever,mmr_l0.45,0.5086292409060534,365
7,flanT5Small,contriever,mmr_l0.55,0.5186666046473453,365
7,flanT5Small,contriever,mmr_l0.7,0.5082578849856527,100
7,flanT5Small,contriever,mmr_l0.85,0.5223219047435956,365
7,flanT5Small,contriever,pl_a1,0.5256077495277247,365
7,flanT5Small,contriever,pl_a2,0.5248064452817414,365
7,flanT5Small,contriever,pl_a4,0.5319964622163794,365
7,flanT5Small,contriever,pl_a8,0.5293249147236202,365
