lamp_num,generator_name,ranker,model,baseline_utility,"[0.0,0.2)","[0.0,0.2)_n","[0.0,0.2)_sig","[0.2,0.4)","[0.2,0.4)_n","[0.2,0.4)_sig","[0.4,0.6)","[0.4,0.6)_n","[0.4,0.6)_sig","[0.6,0.8)","[0.6,0.8)_n","[0.6,0.8)_sig","[0.8,1.0)","[0.8,1.0)_n","[0.8,1.0)_sig"
3,flanT5Base,bm25,BM25+flan-T5-base,0.892636684303351,0.0009007306626354072,735,,0.023761165159014497,124,,0.011171262716516583,151,,-0.007370983820259025,138,,-0.008547856464523163,364,
3,flanT5Base,contriever,Contriever+flan-T5-base,0.9014550264550265,-0.006493522831838239,736,,0.02376142376142365,77,,0.001778804390744626,134,,0.006556023268730393,181,,-0.003017526455026509,384,
4,flanT5Small,bm25,BM25+flan-T5-small,0.2987898253541084,-0.1157652733301141,142,*,-0.04169965643719903,47,,-0.01648172908308554,34,,-0.04420534961953482,71,,-0.004617910060494945,836,
4,flanT5Small,contriever,Contriever+flan-T5-small,0.3601561188051105,-0.10890128189871268,1106,*,-0.04981970663514734,334,*,-0.017393881838969172,399,,0.01672604215336404,448,,0.0024713677601251316,1033,
4,flanT5Base,bm25,BM25+flan-T5-base,0.3040545077849441,-0.08402339257276312,1038,*,-0.006371624242423768,379,,0.020315010250021248,347,,-0.0002726786908344714,484,,-0.0004107622691428281,1052,
4,flanT5Base,contriever,Contriever+flan-T5-base,0.36111655991477826,-0.1327350920198531,1078,*,-0.04379873509230786,336,*,-0.006132596701135751,402,,-0.009963711295629285,462,,0.0017477890261509699,1022,
5,flanT5Small,bm25,BM25+flan-T5-small,0.4587025611036594,-0.0420592199251375,1338,*,-0.03330247310533824,458,,0.03517895365749285,306,,-0.007748929525626613,382,,-0.011226885340833492,764,
5,flanT5Small,contriever,Contriever+flan-T5-small,0.46674505279066536,-0.05498252914740115,1304,*,-0.05910299684780462,369,*,-0.029124918511652276,221,,0.01132762416429195,406,,-0.0064044747572015726,948,
5,flanT5Base,bm25,BM25+flan-T5-base,0.5290859837253589,-0.006646622656295564,1208,,-0.016536210294200826,413,,0.015623834274339221,281,,0.0055293935166843555,344,,0.014207894054002468,686,
5,flanT5Base,contriever,Contriever+flan-T5-base,0.5450286811266455,-0.025276609352893886,1179,,-0.03338670960647783,333,,-0.0006733158891353286,209,,-0.009385432723335918,363,,0.004392221719892397,848,
6,flanT5Small,bm25,BM25+flan-T5-small,0.42447857256424315,-0.08031540637616613,898,*,-0.05813417724303577,564,*,0.029814692426823497,375,,-0.027534016402819605,341,,0.005042672046709995,770,
6,flanT5Small,contriever,Contriever+flan-T5-small,0.4100525222044516,-0.06662689218518875,939,*,-0.03868250683492325,478,,-0.017431090437010743,353,,0.021262158975007994,313,,0.010870500723096144,865,
6,flanT5Base,bm25,BM25+flan-T5-base,0.46214879637243816,-0.06499408811971491,921,*,-0.0908527318499937,581,*,0.024055597340247425,400,,-0.03457756862181677,355,,-0.01351337973859984,771,
6,flanT5Base,contriever,Contriever+flan-T5-base,0.44343680420215353,-0.0494705871636939,968,*,-0.06570831787495901,494,*,-0.015611424766788617,362,,0.011826870355392483,319,,0.0013336097017824233,885,
7,flanT5Small,bm25,BM25+flan-T5-small,0.5358038273211577,0.10527309056286949,32,,-0.032187149922698666,176,,-0.0069209035506034855,371,,0.029394392444583306,392,,-0.014628029387957264,489,
7,flanT5Small,contriever,Contriever+flan-T5-small,0.5351234698716809,0.0037677837704500616,30,,-0.034975332966782124,196,,-0.010939876301329643,344,,0.012496862313024604,344,,0.002162766512414538,546,
7,flanT5Base,bm25,BM25+flan-T5-base,0.6746248479085415,0.12804879843060935,26,,-0.0038525349024777222,131,,-0.06115077015611714,207,*,0.004668021958402768,207,,-0.016460810587708652,273,
7,flanT5Base,contriever,Contriever+flan-T5-base,0.6491014239390211,0.09112873539775967,25,,0.028080572854146002,142,,-0.02438959393435669,202,,-0.011784176888509745,170,,0.009365074186340028,305,
